index,seq_id,prep,samplename,seq_count
12836,EBV-16,NTT (Corrected),NTT6 (Corrected),464.5157058704432
12837,EBV-16,MTT (Corrected),MTT1 (Corrected),495.5208861952243
12838,EBV-16,MTT (Corrected),MTT2 (Corrected),774.0416551853161
12839,EBV-16,MTT (Corrected),MTT3 (Corrected),793.33676869969
12840,EBV-16,NTTR (Corrected),NTTR1 (Corrected),1559.7324461780793
12841,EBV-16,NTTR (Corrected),NTTR2 (Corrected),1544.5190781475455
12842,EBV-16,NTTR (Corrected),NTTR3 (Corrected),2354.449814249306
12843,EBV-16,circ_ligase (Corrected),circ_ligase (Corrected),328.45183301506285
12844,EBV-17-3P,NTC (Corrected),NTC4 (Corrected),1310.5376091380433
12845,EBV-17-3P,NTC (Corrected),NTC5 (Corrected),938.390476053426
12846,EBV-17-3P,NTC (Corrected),NTC6 (Corrected),941.237220465061
12847,EBV-17-3P,NTT (Corrected),NTT4 (Corrected),811.8384578333477
12848,EBV-17-3P,NTT (Corrected),NTT5 (Corrected),830.3134236710016
12849,EBV-17-3P,NTT (Corrected),NTT6 (Corrected),966.6041552602615
12850,EBV-17-3P,MTT (Corrected),MTT1 (Corrected),1046.3201041067211
12851,EBV-17-3P,MTT (Corrected),MTT2 (Corrected),1489.595646279938
12852,EBV-17-3P,MTT (Corrected),MTT3 (Corrected),1847.0986013871216
12853,EBV-17-3P,NTTR (Corrected),NTTR1 (Corrected),2131.677713836879
12854,EBV-17-3P,NTTR (Corrected),NTTR2 (Corrected),8274.679751084197
